id,prediction
14282777,4.911735142079361
17029381,5.969615885975523
7824740,4.932068791639014
19811650,5.867010404014286
12410741,4.556325828983576
19589738,4.869184595380761
15470255,4.950465029621688
6128434,4.783442782070874
18358465,4.572278415174611
8760362,3.708499283157824
11755946,4.587192941782159
8327302,5.3213088113486
13884363,4.451841507216933
6103273,5.1455080859870606
18724232,4.6632511023298715
19086978,4.057299107720841
6834210,4.58276623830673
9013556,4.780338498530609
11759260,5.1371777252295665
8382187,5.017039869179088
1840445,4.0868101998429625
15202859,4.019353189616223
18361399,4.952336275078024
17881079,4.14336855403044
16227150,6.249582714318279
9770459,4.969959965771459
4341518,4.8844459929390815
10516580,4.962236258951262
16416474,4.745293811567146
5085892,4.774401322421632
13697587,4.233176798280165
12158766,4.501660268111225
5386312,5.275471597358615
17692345,4.266664350270409
16026765,4.634426556439021
18505615,3.950704595055386
2262885,4.681714149026735
16674812,4.352842189704254
1628130,5.094750878925034
15379798,4.699815314940076
20173503,5.528854798534468
21173342,4.070627660144564
10019796,4.354646522554812
13116069,5.289705130732495
16245464,4.806019250421852
2298801,5.1569915056062605
884803,5.103204897381548
16480090,4.5580555746902425
9855805,4.177834916896086
11407704,4.004823374797469
15572980,3.9557623113388534
8457785,5.374427025080109
4115403,5.58015404153896
10138784,4.525610120351054
16592678,4.587932799451221
7194843,4.8981880054047675
20754111,5.375825805771225
19808904,5.321097616968554
16240085,4.16530071664939
16390897,5.296144359293876
15217021,5.1461310483931975
2899177,4.360065114976793
823880,6.203509233150976
17960485,5.013326725510679
37197,5.1748664980969075
17843177,4.657999138394731
20872950,5.502013687848197
12028495,4.726211735589367
14824136,5.252229701693441
5084563,4.578231621149269
9168809,4.7307631115308695
16490010,5.344473958710751
752084,4.515027092963953
1391683,3.990775381153617
13862932,4.830830644338108
18969917,4.874121638035298
2536255,4.500460755401944
7401453,3.8722843622123477
8048838,4.713453179299434
17094930,5.2873558284413065
1213652,5.270139857990391
18650533,4.877919075950535
18428776,4.308410197752796
3497750,4.652706873544821
12784763,4.730399325648975
